"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt51","run052",0.161016936512209,56,56,0.5,0.5,38,32,0.0904761904761905,0.0761904761904762,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.163,0.0340030640355315,0.848,210,1,1
"Pt52","run053",0.371806578181381,56,56,0.5,0.5,38,30,0.0904761904761905,0.0714285714285714,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1442,0.0381043739809972,0.862,210,1,1
"Pt53","run054",0.476350497945395,56,56,0.5,0.5,38,36,0.0904761904761905,0.0857142857142857,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.15,0.0375316944959801,0.833,210,1,1
"Pt54","run055",0.237953148108428,56,56,0.5,0.5,38,38,0.0904761904761905,0.0904761904761905,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1558,0.0436506464057484,0.829,210,0.962,0.846
"Pt55","run056",0.302165306958347,56,56,0.5,0.5,38,38,0.0904761904761905,0.0904761904761905,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1435,0.0333261183261184,0.829,210,0.857,0.429
"Pt56","run057",0.198964047858839,56,56,0.5,0.5,38,35,0.0904761904761905,0.0833333333333333,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1545,0.0347663844092416,0.838,210,1,1
"Pt57","run058",0.386105574995506,56,56,0.5,0.5,38,33,0.0904761904761905,0.0785714285714286,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1513,0.032836381305769,0.848,210,1,1
"Pt58","run059",0.434515104876047,56,56,0.5,0.5,38,31,0.0904761904761905,0.0738095238095238,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1591,0.03093820861678,0.852,210,1,1
"Pt59","run060",0.366788931421774,56,56,0.5,0.5,38,38,0.0904761904761905,0.0904761904761905,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1552,0.0356390434961864,0.829,210,0.917,0.667
"Pt60","run061",0.439195684767802,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1513,0.0390147834025386,0.843,210,0.933,0.733
"Pt61","run062",0.306046630457637,56,56,0.5,0.5,38,36,0.0904761904761905,0.0857142857142857,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1571,0.0350944510035417,0.833,210,0.8,0.2
"Pt62","run063",0.340429837733486,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1545,0.0390142925857212,0.838,210,1,1
"Pt63","run064",0.405553552826906,56,56,0.5,0.5,38,36,0.0904761904761905,0.0857142857142857,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1701,0.030093795093795,0.838,210,1,1
