"","actor","subject","date","crowd","displace","total.DC","period","days"
"370","GBG","GGG","2020-03-27",0,1,1,"per0","last"
"371","GBG","RBB","2020-03-27",1,0,1,"per0","last"
"372","GBG","RGG","2020-03-27",0,1,1,"per0","last"
"373","GBG","RGR","2020-03-27",0,1,1,"per0","last"
"374","GBG","RRG","2020-03-27",0,1,1,"per0","last"
"375","GGB","BBB","2020-03-27",0,7,7,"per0","last"
"376","GGB","BBR","2020-03-27",0,1,1,"per0","last"
"377","GGB","BGG","2020-03-27",0,1,1,"per0","last"
"378","GGB","BRR","2020-03-27",0,2,2,"per0","last"
"379","GGB","GBB","2020-03-27",0,1,1,"per0","last"
"380","GGB","GGG","2020-03-27",6,20,26,"per0","last"
"381","GGB","GGR","2020-03-27",0,1,1,"per0","last"
"382","GGB","GRR","2020-03-27",0,2,2,"per0","last"
"383","GGB","RBB","2020-03-27",0,1,1,"per0","last"
"384","GGB","RBR","2020-03-27",0,4,4,"per0","last"
"385","GGB","RGG","2020-03-27",0,1,1,"per0","last"
"386","GGB","RGR","2020-03-27",0,1,1,"per0","last"
"387","GGB","RRG","2020-03-27",0,3,3,"per0","last"
"388","GGB","RRR","2020-03-27",0,1,1,"per0","last"
"389","GGG","BBB","2020-03-27",4,22,26,"per0","last"
"390","GGG","BGB","2020-03-27",0,1,1,"per0","last"
"391","GGG","BGG","2020-03-27",1,3,4,"per0","last"
"392","GGG","BRB","2020-03-27",0,2,2,"per0","last"
"393","GGG","BRR","2020-03-27",0,4,4,"per0","last"
"394","GGG","GGB","2020-03-27",1,1,2,"per0","last"
"395","GGG","GGR","2020-03-27",0,4,4,"per0","last"
"396","GGG","GRR","2020-03-27",0,1,1,"per0","last"
"397","GGG","RBB","2020-03-27",0,2,2,"per0","last"
"398","GGG","RBG","2020-03-27",0,3,3,"per0","last"
"399","GGG","RBR","2020-03-27",0,16,16,"per0","last"
"400","GGG","RGG","2020-03-27",0,1,1,"per0","last"
"401","GGG","RGR","2020-03-27",0,5,5,"per0","last"
"402","GGG","RRG","2020-03-27",0,18,18,"per0","last"
"403","GGG","RRR","2020-03-27",0,1,1,"per0","last"
"404","GGR","BBB","2020-03-27",0,1,1,"per0","last"
"405","GRG","BBB","2020-03-27",0,1,1,"per0","last"
"406","GRG","GGG","2020-03-27",0,2,2,"per0","last"
"407","GRG","GGR","2020-03-27",0,1,1,"per0","last"
"408","GRG","RBG","2020-03-27",0,1,1,"per0","last"
"409","GRG","RRG","2020-03-27",0,1,1,"per0","last"
"410","GRR","BGG","2020-03-27",0,1,1,"per0","last"
"411","GRR","BRR","2020-03-27",0,1,1,"per0","last"
"412","RBB","BRB","2020-03-27",0,1,1,"per0","last"
"413","RBG","GRR","2020-03-27",0,3,3,"per0","last"
"414","RBG","RBR","2020-03-27",0,1,1,"per0","last"
"415","RBG","RGR","2020-03-27",0,1,1,"per0","last"
"416","RBR","BBB","2020-03-27",0,6,6,"per0","last"
"417","RBR","BGB","2020-03-27",0,2,2,"per0","last"
"418","RBR","BRB","2020-03-27",1,0,1,"per0","last"
"419","RBR","BRR","2020-03-27",0,1,1,"per0","last"
"420","RBR","GGB","2020-03-27",0,5,5,"per0","last"
"421","RBR","GRR","2020-03-27",0,2,2,"per0","last"
"422","RBR","RBB","2020-03-27",0,1,1,"per0","last"
"423","RBR","RGG","2020-03-27",2,6,8,"per0","last"
"424","RGG","BBB","2020-03-27",0,2,2,"per0","last"
"425","RGG","BBR","2020-03-27",0,1,1,"per0","last"
"426","RGG","BRR","2020-03-27",0,4,4,"per0","last"
"427","RGG","GGR","2020-03-27",0,2,2,"per0","last"
"428","RGG","GRR","2020-03-27",0,7,7,"per0","last"
"429","RGR","BBB","2020-03-27",1,1,2,"per0","last"
"430","RGR","BBR","2020-03-27",1,0,1,"per0","last"
"431","RGR","BGB","2020-03-27",1,3,4,"per0","last"
"432","RGR","BGG","2020-03-27",0,1,1,"per0","last"
"433","RGR","GGB","2020-03-27",0,4,4,"per0","last"
"434","RGR","GGR","2020-03-27",0,1,1,"per0","last"
"435","RGR","RGG","2020-03-27",0,1,1,"per0","last"
"436","RGR","RRG","2020-03-27",0,2,2,"per0","last"
"437","RRG","BBB","2020-03-27",0,15,15,"per0","last"
"438","RRG","BBR","2020-03-27",0,1,1,"per0","last"
"439","RRG","BGB","2020-03-27",1,6,7,"per0","last"
"440","RRG","BRB","2020-03-27",0,13,13,"per0","last"
"441","RRG","BRR","2020-03-27",0,2,2,"per0","last"
"442","RRG","GGG","2020-03-27",0,7,7,"per0","last"
"443","RRG","GGR","2020-03-27",0,1,1,"per0","last"
"444","RRG","GRR","2020-03-27",1,0,1,"per0","last"
"445","RRG","RGG","2020-03-27",0,1,1,"per0","last"
"446","RRG","RGR","2020-03-27",0,1,1,"per0","last"
"447","RRR","BRB","2020-03-27",0,1,1,"per0","last"
